timestamp,ram_used_MiB,ram_total_MiB
2025-08-13 22:15:19,28255,515238
2025-08-13 22:15:20,28303,515238
2025-08-13 22:15:21,28294,515238
2025-08-13 22:15:22,28321,515238
2025-08-13 22:15:23,28363,515238
2025-08-13 22:15:24,28365,515238
2025-08-13 22:15:25,28400,515238
2025-08-13 22:15:26,28432,515238
2025-08-13 22:15:27,28446,515238
2025-08-13 22:15:28,28475,515238
2025-08-13 22:15:30,28486,515238
2025-08-13 22:15:31,28488,515238
2025-08-13 22:15:32,28528,515238
2025-08-13 22:15:33,28533,515238
2025-08-13 22:15:34,28535,515238
2025-08-13 22:15:35,28552,515238
2025-08-13 22:15:36,28566,515238
2025-08-13 22:15:37,28561,515238
2025-08-13 22:15:38,28582,515238
2025-08-13 22:15:39,28596,515238
2025-08-13 22:15:40,28591,515238
2025-08-13 22:15:41,28625,515238
2025-08-13 22:15:42,28629,515238
2025-08-13 22:15:43,28688,515238
2025-08-13 22:15:44,28689,515238
2025-08-13 22:15:45,28695,515238
2025-08-13 22:15:46,28695,515238
2025-08-13 22:15:47,28695,515238
2025-08-13 22:15:48,28695,515238
2025-08-13 22:15:49,28697,515238
2025-08-13 22:15:50,28767,515238
2025-08-13 22:15:51,28833,515238
2025-08-13 22:15:52,29815,515238
2025-08-13 22:15:53,30834,515238
2025-08-13 22:15:54,31873,515238
2025-08-13 22:15:55,32793,515238
2025-08-13 22:15:56,33765,515238
2025-08-13 22:15:57,34779,515238
2025-08-13 22:15:58,35821,515238
2025-08-13 22:15:59,36832,515238
2025-08-13 22:16:00,35176,515238
2025-08-13 22:16:01,35176,515238
2025-08-13 22:16:02,35176,515238
2025-08-13 22:16:03,35176,515238
2025-08-13 22:16:04,35176,515238
2025-08-13 22:16:05,35177,515238
2025-08-13 22:16:06,35493,515238
2025-08-13 22:16:07,35569,515238
2025-08-13 22:16:08,35568,515238
2025-08-13 22:16:09,35569,515238
2025-08-13 22:16:10,35569,515238
2025-08-13 22:16:11,35569,515238
2025-08-13 22:16:12,35568,515238
2025-08-13 22:16:13,35569,515238
2025-08-13 22:16:14,35569,515238
2025-08-13 22:16:15,35569,515238
2025-08-13 22:16:16,35569,515238
2025-08-13 22:16:17,35569,515238
2025-08-13 22:16:18,35956,515238
2025-08-13 22:16:19,36569,515238
2025-08-13 22:16:20,36583,515238
2025-08-13 22:16:21,36583,515238
2025-08-13 22:16:22,36671,515238
2025-08-13 22:16:23,36794,515238
2025-08-13 22:16:24,36904,515238
2025-08-13 22:16:25,37014,515238
2025-08-13 22:16:26,37085,515238
2025-08-13 22:16:27,32516,515238
2025-08-13 22:16:28,32278,515238
2025-08-13 22:16:29,33760,515238
2025-08-13 22:16:30,35291,515238
2025-08-13 22:16:31,36492,515238
2025-08-13 22:16:32,37668,515238
2025-08-13 22:16:33,39185,515238
2025-08-13 22:16:34,40670,515238
2025-08-13 22:16:35,41994,515238
2025-08-13 22:16:36,43729,515238
2025-08-13 22:16:37,45336,515238
2025-08-13 22:16:38,46890,515238
2025-08-13 22:16:39,48163,515238
2025-08-13 22:16:40,49848,515238
2025-08-13 22:16:41,37791,515238
2025-08-13 22:16:42,31827,515238
2025-08-13 22:16:43,31841,515238
2025-08-13 22:16:44,31846,515238
2025-08-13 22:16:45,31911,515238
2025-08-13 22:16:46,31855,515238
2025-08-13 22:16:47,31855,515238
2025-08-13 22:16:48,31856,515238
2025-08-13 22:16:49,31855,515238
2025-08-13 22:16:50,31855,515238
2025-08-13 22:16:51,31854,515238
2025-08-13 22:16:52,31911,515238
2025-08-13 22:16:53,31906,515238
2025-08-13 22:16:54,31855,515238
2025-08-13 22:16:55,31856,515238
2025-08-13 22:16:56,31870,515238
2025-08-13 22:16:57,31878,515238
2025-08-13 22:16:58,31912,515238
2025-08-13 22:16:59,31910,515238
2025-08-13 22:17:00,31858,515238
2025-08-13 22:17:01,31869,515238
2025-08-13 22:17:02,31857,515238
2025-08-13 22:17:03,31857,515238
2025-08-13 22:17:04,31887,515238
2025-08-13 22:17:05,31857,515238
2025-08-13 22:17:06,31858,515238
2025-08-13 22:17:07,31858,515238
2025-08-13 22:17:08,31858,515238
2025-08-13 22:17:09,31858,515238
2025-08-13 22:17:10,31858,515238
2025-08-13 22:17:11,31858,515238
2025-08-13 22:17:12,31859,515238
2025-08-13 22:17:13,31859,515238
2025-08-13 22:17:14,31858,515238
2025-08-13 22:17:15,31858,515238
2025-08-13 22:17:16,32003,515238
2025-08-13 22:17:17,31859,515238
2025-08-13 22:17:18,31859,515238
2025-08-13 22:17:19,31859,515238
2025-08-13 22:17:20,31860,515238
2025-08-13 22:17:21,31859,515238
2025-08-13 22:17:22,31859,515238
2025-08-13 22:17:23,31860,515238
2025-08-13 22:17:24,31860,515238
2025-08-13 22:17:25,31852,515238
2025-08-13 22:17:26,31852,515238
2025-08-13 22:17:27,31853,515238
2025-08-13 22:17:28,31854,515238
2025-08-13 22:17:29,31854,515238
2025-08-13 22:17:30,31869,515238
2025-08-13 22:17:31,31870,515238
2025-08-13 22:17:33,31873,515238
2025-08-13 22:17:34,31911,515238
2025-08-13 22:17:35,31923,515238
2025-08-13 22:17:36,31924,515238
2025-08-13 22:17:37,31924,515238
2025-08-13 22:17:38,31942,515238
2025-08-13 22:17:39,31941,515238
2025-08-13 22:17:40,31986,515238
2025-08-13 22:17:41,31986,515238
2025-08-13 22:17:42,31987,515238
2025-08-13 22:17:43,31986,515238
2025-08-13 22:17:44,31986,515238
2025-08-13 22:17:45,31987,515238
2025-08-13 22:17:46,31986,515238
2025-08-13 22:17:47,31986,515238
2025-08-13 22:17:48,31986,515238
2025-08-13 22:17:49,31986,515238
2025-08-13 22:17:50,31986,515238
2025-08-13 22:17:51,31986,515238
2025-08-13 22:17:52,31986,515238
2025-08-13 22:17:53,31986,515238
2025-08-13 22:17:54,31986,515238
2025-08-13 22:17:55,31986,515238
2025-08-13 22:17:56,31986,515238
2025-08-13 22:17:57,31986,515238
2025-08-13 22:17:58,31986,515238
2025-08-13 22:17:59,31986,515238
2025-08-13 22:18:00,31986,515238
2025-08-13 22:18:01,31986,515238
2025-08-13 22:18:02,31986,515238
2025-08-13 22:18:03,31986,515238
2025-08-13 22:18:04,31986,515238
2025-08-13 22:18:05,31986,515238
2025-08-13 22:18:06,31986,515238
2025-08-13 22:18:07,31986,515238
2025-08-13 22:18:08,31987,515238
2025-08-13 22:18:09,31987,515238
2025-08-13 22:18:10,31987,515238
2025-08-13 22:18:11,31987,515238
2025-08-13 22:18:12,31987,515238
2025-08-13 22:18:13,31986,515238
2025-08-13 22:18:14,31987,515238
2025-08-13 22:18:15,31999,515238
2025-08-13 22:18:16,31986,515238
2025-08-13 22:18:17,31986,515238
2025-08-13 22:18:18,31986,515238
2025-08-13 22:18:19,31986,515238
2025-08-13 22:18:20,31986,515238
2025-08-13 22:18:21,31986,515238
2025-08-13 22:18:22,31986,515238
2025-08-13 22:18:23,31986,515238
2025-08-13 22:18:24,31986,515238
2025-08-13 22:18:25,31986,515238
2025-08-13 22:18:26,31986,515238
2025-08-13 22:18:27,31986,515238
2025-08-13 22:18:28,31986,515238
2025-08-13 22:18:29,31986,515238
2025-08-13 22:18:30,31986,515238
2025-08-13 22:18:31,31986,515238
2025-08-13 22:18:32,31986,515238
2025-08-13 22:18:33,31986,515238
2025-08-13 22:18:34,31987,515238
2025-08-13 22:18:35,31987,515238
2025-08-13 22:18:36,31986,515238
2025-08-13 22:18:37,31986,515238
2025-08-13 22:18:38,31986,515238
2025-08-13 22:18:39,31987,515238
2025-08-13 22:18:40,31986,515238
2025-08-13 22:18:41,31986,515238
2025-08-13 22:18:42,31987,515238
2025-08-13 22:18:43,31987,515238
2025-08-13 22:18:44,31987,515238
2025-08-13 22:18:45,31987,515238
2025-08-13 22:18:46,31987,515238
2025-08-13 22:18:47,31987,515238
2025-08-13 22:18:48,31987,515238
2025-08-13 22:18:49,31987,515238
2025-08-13 22:18:50,31987,515238
2025-08-13 22:18:51,31987,515238
2025-08-13 22:18:52,31987,515238
2025-08-13 22:18:53,31987,515238
2025-08-13 22:18:54,31987,515238
2025-08-13 22:18:55,31986,515238
2025-08-13 22:18:56,31986,515238
2025-08-13 22:18:57,31986,515238
2025-08-13 22:18:58,31986,515238
2025-08-13 22:18:59,31986,515238
2025-08-13 22:19:00,31986,515238
2025-08-13 22:19:01,31986,515238
2025-08-13 22:19:02,31986,515238
2025-08-13 22:19:03,31986,515238
2025-08-13 22:19:04,31986,515238
2025-08-13 22:19:05,31986,515238
2025-08-13 22:19:06,31986,515238
2025-08-13 22:19:07,31987,515238
2025-08-13 22:19:08,31987,515238
2025-08-13 22:19:09,31986,515238
2025-08-13 22:19:10,31987,515238
2025-08-13 22:19:11,31987,515238
2025-08-13 22:19:12,31986,515238
2025-08-13 22:19:13,31987,515238
2025-08-13 22:19:14,31987,515238
2025-08-13 22:19:15,31987,515238
2025-08-13 22:19:16,31987,515238
2025-08-13 22:19:17,31987,515238
2025-08-13 22:19:18,31987,515238
2025-08-13 22:19:19,31986,515238
2025-08-13 22:19:20,31987,515238
2025-08-13 22:19:21,31987,515238
2025-08-13 22:19:22,31987,515238
2025-08-13 22:19:23,31987,515238
2025-08-13 22:19:24,31986,515238
2025-08-13 22:19:25,31986,515238
2025-08-13 22:19:26,31987,515238
2025-08-13 22:19:27,31987,515238
2025-08-13 22:19:28,31987,515238
2025-08-13 22:19:29,31998,515238
2025-08-13 22:19:30,31986,515238
2025-08-13 22:19:31,31986,515238
2025-08-13 22:19:32,31986,515238
2025-08-13 22:19:33,31986,515238
2025-08-13 22:19:35,31986,515238
2025-08-13 22:19:36,31986,515238
2025-08-13 22:19:37,31986,515238
2025-08-13 22:19:38,31986,515238
2025-08-13 22:19:39,31986,515238
2025-08-13 22:19:40,31986,515238
2025-08-13 22:19:41,31986,515238
2025-08-13 22:19:42,31987,515238
2025-08-13 22:19:43,31987,515238
2025-08-13 22:19:44,31986,515238
2025-08-13 22:19:45,31987,515238
2025-08-13 22:19:46,31986,515238
2025-08-13 22:19:47,31987,515238
2025-08-13 22:19:48,31986,515238
2025-08-13 22:19:49,31987,515238
2025-08-13 22:19:50,31986,515238
2025-08-13 22:19:51,31987,515238
