timestamp,ram_used_MiB,ram_total_MiB
2025-08-11 14:11:33,20744,63985
2025-08-11 14:11:34,20954,63985
2025-08-11 14:11:35,21200,63985
2025-08-11 14:11:36,21094,63985
2025-08-11 14:11:37,21107,63985
2025-08-11 14:11:38,21053,63985
2025-08-11 14:11:39,21803,63985
2025-08-11 14:11:40,23064,63985
2025-08-11 14:11:41,24345,63985
2025-08-11 14:11:42,25647,63985
2025-08-11 14:11:43,26817,63985
2025-08-11 14:11:44,28116,63985
2025-08-11 14:11:45,27577,63985
2025-08-11 14:11:46,27534,63985
2025-08-11 14:11:47,28057,63985
2025-08-11 14:11:48,28886,63985
2025-08-11 14:11:49,26028,63985
2025-08-11 14:11:50,25388,63985
2025-08-11 14:11:51,27674,63985
2025-08-11 14:11:52,29632,63985
2025-08-11 14:11:53,32633,63985
2025-08-11 14:11:54,36122,63985
2025-08-11 14:11:55,39547,63985
2025-08-11 14:11:56,43000,63985
2025-08-11 14:11:57,35048,63985
2025-08-11 14:11:58,35092,63985
2025-08-11 14:11:59,35107,63985
2025-08-11 14:12:00,35121,63985
2025-08-11 14:12:01,35139,63985
2025-08-11 14:12:02,35127,63985
2025-08-11 14:12:03,35123,63985
2025-08-11 14:12:04,35125,63985
2025-08-11 14:12:05,35119,63985
2025-08-11 14:12:06,35125,63985
2025-08-11 14:12:07,35129,63985
2025-08-11 14:12:08,35122,63985
2025-08-11 14:12:09,35121,63985
2025-08-11 14:12:10,35127,63985
2025-08-11 14:12:11,35126,63985
2025-08-11 14:12:12,35126,63985
2025-08-11 14:12:13,35127,63985
2025-08-11 14:12:14,35130,63985
2025-08-11 14:12:15,35133,63985
2025-08-11 14:12:16,35136,63985
2025-08-11 14:12:17,35144,63985
2025-08-11 14:12:18,35152,63985
2025-08-11 14:12:19,35219,63985
2025-08-11 14:12:20,35464,63985
2025-08-11 14:12:21,35315,63985
2025-08-11 14:12:22,35321,63985
2025-08-11 14:12:23,35312,63985
2025-08-11 14:12:24,35313,63985
2025-08-11 14:12:25,35319,63985
2025-08-11 14:12:26,35309,63985
2025-08-11 14:12:27,35305,63985
2025-08-11 14:12:28,35219,63985
2025-08-11 14:12:29,35142,63985
2025-08-11 14:12:30,35131,63985
2025-08-11 14:12:31,35134,63985
2025-08-11 14:12:32,35131,63985
2025-08-11 14:12:33,35133,63985
2025-08-11 14:12:34,35100,63985
2025-08-11 14:12:35,35101,63985
2025-08-11 14:12:36,35098,63985
2025-08-11 14:12:37,35101,63985
2025-08-11 14:12:38,35097,63985
2025-08-11 14:12:39,35099,63985
2025-08-11 14:12:40,35097,63985
2025-08-11 14:12:41,35098,63985
2025-08-11 14:12:42,35102,63985
2025-08-11 14:12:43,35104,63985
2025-08-11 14:12:44,35104,63985
2025-08-11 14:12:45,35115,63985
2025-08-11 14:12:46,35132,63985
2025-08-11 14:12:47,35121,63985
2025-08-11 14:12:48,35123,63985
2025-08-11 14:12:49,35126,63985
2025-08-11 14:12:50,35128,63985
2025-08-11 14:12:51,35127,63985
2025-08-11 14:12:52,35122,63985
2025-08-11 14:12:53,35124,63985
2025-08-11 14:12:55,35125,63985
2025-08-11 14:12:56,35124,63985
2025-08-11 14:12:57,35127,63985
2025-08-11 14:12:58,35125,63985
2025-08-11 14:12:59,35127,63985
2025-08-11 14:13:00,35124,63985
2025-08-11 14:13:01,35123,63985
2025-08-11 14:13:02,35122,63985
2025-08-11 14:13:03,35117,63985
2025-08-11 14:13:04,35123,63985
2025-08-11 14:13:05,35133,63985
2025-08-11 14:13:06,35133,63985
2025-08-11 14:13:07,35128,63985
2025-08-11 14:13:08,35215,63985
2025-08-11 14:13:09,35341,63985
2025-08-11 14:13:10,35343,63985
2025-08-11 14:13:11,35342,63985
2025-08-11 14:13:12,35343,63985
2025-08-11 14:13:13,35349,63985
2025-08-11 14:13:14,35341,63985
2025-08-11 14:13:15,35343,63985
2025-08-11 14:13:16,35345,63985
2025-08-11 14:13:17,35165,63985
2025-08-11 14:13:18,35110,63985
2025-08-11 14:13:19,35120,63985
2025-08-11 14:13:20,35109,63985
2025-08-11 14:13:21,35142,63985
2025-08-11 14:13:22,34901,63985
2025-08-11 14:13:23,34890,63985
